year,date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description,wzz,wzz_add,_mtime,all_local_confirm_add,deadAdd
2022,03.20,中国,上海,5027,7,4472,41,,,,,41,44,0,,2793,734,2022-03-20T23:56:27Z,0,0
2022,03.21,中国,上海,5066,7,4612,39,,,,,39,140,0,,3505,865,2022-03-22T00:09:27Z,0,0
2022,03.22,中国,上海,5080,7,4635,14,,,,,14,23,0,,4408,977,2022-03-23T00:04:22Z,0,0
2022,03.23,中国,上海,5094,7,4716,14,,,,,14,81,0,,5170,979,2022-03-23T23:56:29Z,0,0
2022,03.24,中国,上海,5135,7,4779,41,,,,,41,63,0,,6750,1580,2022-03-25T00:16:54Z,0,0
2022,03.25,中国,上海,5182,7,4800,47,,,,,47,21,0,,8674,2231,2022-03-26T00:10:43Z,0,0
2022,03.26,中国,上海,5233,7,4833,51,,,,,51,33,0,,11095,2631,2022-03-26T23:57:15Z,0,0
2022,03.27,中国,上海,5293,7,4870,60,,,,,60,37,0,,14376,3450,2022-03-28T00:06:30Z,0,0
2022,03.28,中国,上海,5400,7,4898,107,,,,,107,28,0,,18531,4381,2022-03-29T00:02:18Z,0,0
2022,03.29,中国,上海,5729,7,4943,329,,,,,329,45,0,,23896,5656,2022-03-29T23:58:30Z,0,0
2022,03.30,中国,上海,6087,7,4972,358,,,,,358,29,0,,28860,5298,2022-03-31T00:14:29Z,0,0
2022,03.31,中国,上海,6452,7,4998,365,,,,,365,26,0,,32648,4144,2022-04-01T00:08:38Z,0,0
2022,04.01,中国,上海,6714,7,5037,262,,,,,262,39,0,,38162,6051,2022-04-02T00:23:07Z,0,0
2022,04.02,中国,上海,7158,7,5068,444,,,,,444,31,0,,45362,7788,2022-04-03T00:07:29Z,0,0
2022,04.03,中国,上海,7591,7,5098,433,,,,,433,30,0,,53418,8581,2022-04-04T00:05:27Z,0,0
2022,04.04,中国,上海,7862,7,5125,271,,,,,271,27,0,,65981,13086,2022-04-05T00:19:22Z,0,0
2022,04.05,中国,上海,8177,7,5166,315,,,,,315,41,0,,82221,16766,2022-04-05T23:54:38Z,0,0
2022,04.06,中国,上海,8506,7,5213,329,,,,,329,47,0,,101116,19660,2022-04-06T23:57:58Z,0,0
2022,04.07,中国,上海,9334,7,5270,828,,,,,828,57,0,,120494,20398,2022-04-07T23:58:33Z,0,0
2022,04.08,中国,上海,10351,7,5389,1017,,,,,1017,119,0,,141808,22609,2022-04-09T00:05:45Z,0,0
2022,04.09,中国,上海,10351,7,5389,1017,,,,,1017,0,0,,141808,22609,2022-04-09T00:05:45Z,0,0
2022,04.10,中国,上海,12283,7,5914,917,,,,,917,525,0,,186992,25173,2022-04-11T00:36:05Z,0,0
2022,04.11,中国,上海,12283,7,5914,917,,,,,917,0,0,,186992,25173,2022-04-11T00:36:05Z,0,0
2022,04.12,中国,上海,14471,7,6646,1190,,,,,1190,732,0,,224691,25141,2022-04-13T00:04:40Z,0,0
2022,04.13,中国,上海,17044,7,7387,2573,,,,,2573,741,0,,234431,25146,2022-04-14T00:49:27Z,0,0
2022,04.14,中国,上海,20244,7,7936,3200,,,,,3200,549,0,,246233,19872,2022-04-15T07:07:22Z,0,0
2022,04.15,中国,上海,23838,7,7936,3594,,,,,3594,0,0,,265234,19923,2022-04-15T23:57:37Z,0,0
2022,04.16,中国,上海,27078,7,8309,3240,,,,,3240,373,0,,276479,21582,2022-04-16T23:58:29Z,0,0
2022,04.17,中国,上海,29498,10,10021,2417,,,,,2417,1712,3,,276837,19831,2022-04-18T00:31:47Z,0,0
2022,04.18,中国,上海,32582,17,11238,3084,,,,,3084,1217,7,,271120,17332,2022-04-19T00:08:06Z,0,0
2022,04.19,中国,上海,35077,24,12923,2495,,,,,2495,1685,7,,245176,16407,2022-04-20T03:05:19Z,0,0
2022,04.20,中国,上海,37712,32,14100,2635,,,,,2635,1177,8,,261037,15861,2022-04-21T04:22:27Z,0,0
2022,04.21,中国,上海,39643,43,15836,1931,,,,,1931,1736,11,,250479,15698,2022-04-23T01:51:57Z,0,0
2022,04.22,中国,上海,42379,55,17715,2736,,,,,2736,1879,12,,250345,20634,2022-04-23T01:51:57Z,0,0
2022,04.23,中国,上海,43780,94,19958,1401,,,,,1401,2243,39,,253376,19657,2022-04-24T00:04:46Z,0,0
2022,04.24,中国,上海,46252,145,22409,2472,,,,,2472,2451,51,,249990,16983,2022-04-24T23:58:49Z,0,0
2022,04.25,中国,上海,47913,197,24352,1661,,,,,1661,1943,52,,251470,15319,2022-04-26T00:00:21Z,0,0
2022,04.26,中国,上海,49519,245,26992,1606,,,,,1606,2640,48,,232892,11956,2022-04-27T00:07:40Z,0,0
2022,04.27,中国,上海,50811,292,29302,1292,,,,,1292,2310,47,,216485,9330,2022-04-28T00:09:26Z,0,0
2022,04.28,中国,上海,50811,292,29302,1292,,,,,1292,0,0,,216485,9330,2022-04-28T00:09:26Z,0,0
2022,04.29,中国,上海,57550,391,34593,1250,,,,,1250,5291,99,,234962,8932,2022-04-30T12:06:54Z,0,0
2022,04.30,中国,上海,58339,429,37649,788,,,,,788,3056,38,,226025,7084,2022-04-30T23:58:26Z,0,0
2022,05.01,中国,上海,59068,461,41891,729,,,,,729,4242,32,,232102,6606,2022-05-02T00:10:15Z,0,0
2022,05.02,中国,上海,59343,481,45872,274,,,,,274,3981,20,,237479,5395,2022-05-03T00:02:42Z,0,0
2022,05.03,中国,上海,59605,497,47742,263,,,,,263,1870,16,,232477,4722,2022-05-04T03:46:07Z,0,0
2022,05.04,中国,上海,59868,510,49481,263,,,,,263,1739,13,,223734,4390,2022-05-05T00:06:49Z,0,0
2022,05.05,中国,上海,60113,522,50871,245,,,,,245,1390,12,,217352,4024,2022-05-05T23:56:22Z,0,0
2022,05.06,中国,上海,60366,535,52535,253,,,,,253,1664,13,,209687,3961,2022-05-07T00:30:18Z,0,0
2022,05.07,中国,上海,60583,543,53476,217,,,,,217,941,8,,209687,0,2022-05-08T00:34:05Z,0,0
2022,05.08,中国,上海,60907,554,54121,324,,,,,324,645,11,,205013,3625,2022-05-09T00:34:50Z,0,0
2022,05.09,中国,上海,61141,560,54968,234,,,,,234,847,6,,207637,2780,2022-05-11T03:11:10Z,322,0
2022,05.10,中国,上海,61370,567,55575,229,,,,,229,607,7,,200802,1259,2022-05-11T08:24:40Z,228,0
2022,05.11,中国,上海,61514,572,56008,144,,,,,144,433,5,,81329,1305,2022-05-12T03:19:15Z,144,0
2022,05.12,中国,上海,61741,574,56424,227,,,,,227,416,2,,76671,1869,2022-05-12T23:55:09Z,227,0
2022,05.13,中国,上海,61936,575,57146,195,,,,,195,722,1,,76671,1487,2022-05-14T10:00:43Z,194,0
2022,05.14,中国,上海,62104,578,57439,168,,,,,168,293,3,,73760,1203,2022-05-15T00:09:52Z,166,0
2022,05.15,中国,上海,62174,582,57910,70,,,,,70,471,4,,74587,869,2022-05-16T00:11:26Z,69,0
2022,05.16,中国,上海,62251,583,58225,77,,,,,77,315,1,,75333,746,2022-05-17T00:54:10Z,77,0
2022,05.17,中国,上海,62348,586,58500,97,,,,,97,275,3,,76092,759,2022-05-18T00:47:17Z,96,3
2022,05.18,中国,上海,62348,586,58499,97,,,,,97,-1,0,,76092,759,2022-05-18T02:19:04Z,96,3
